exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error,h_c_0
10mmol_21C,0.00031128,749.9297278,0.49988101,0.038919571,0.107723963,0.0232319569757174,0.997479686190277,0.0,success,,
10mmol_21C,0.000478417,1001.588372,0.300530326,0.04280157,0.103238596,0.0095158054909808,0.9993868830724292,0.0,success,,
10mmol_21C,0.00049956,999.2889087,0.29977596,0.040141707,0.102442293,0.0091639933966023,0.9995650935341616,0.0,success,,
10mmol_21C,0.000321268,1004.324935,0.301183481,0.034455592,0.109297392,0.0178100195646414,0.9906932845110116,0.0,success,,
10mmol_21C,0.000270206,1000.556021,0.29982659,0.041210475,0.107326958,0.027027101890066,0.9757420772979872,0.0,success,,
10mmol_21C,0.000496612,1010.338929,0.401125093,0.04508224,0.100575394,0.0116955257554072,0.9996779623639808,0.0,success,,
10mmol_21C,0.000538199,992.5987236,0.400130769,0.04503236,0.10001264,0.0111117988412796,0.999850518215618,0.0,success,,
10mmol_21C,0.000354805,1005.667141,0.399870462,0.043609781,0.110734652,0.033129409435681,0.996686453528536,0.0,success,,
10mmol_21C,0.00030498,998.6327765,0.399839514,0.038087335,0.109641806,0.0308242005984332,0.9904315271544504,0.0,success,,
10mmol_21C,0.000571614,1012.474803,0.49980213,0.046878808,,0.0091542203416861,0.0,0.0,success,,0.100384342
10mmol_21C,0.000617876,988.0668846,0.500028205,0.049885762,0.099515904,0.0132698352745894,0.9999782275779348,0.0,success,,
10mmol_21C,0.000434109,985.6111681,0.497841901,0.073446624,0.110014009,0.0394157505753395,0.9995993365210258,0.0,success,,
10mmol_21C,0.000379055,1001.503179,0.49926978,0.06168959,0.10874371,0.0405601719580226,0.9987206268445296,0.0,success,,
10mmol_21C,0.000501532,1249.423799,0.299994527,0.039067487,0.109497229,0.0240307522849465,0.9991618007806116,0.0,success,,
10mmol_21C,0.000503923,1251.817605,0.299480344,0.047531765,0.109779302,0.0312498748889606,0.9992304215649408,0.0,success,,
