exp,phi_0,dV_ges,eps_0,h_d_0,h_dis_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error
5mmol_30C,0.000723707,1752.592616,0.500020691,0.099413203,0.0243341,0.005223481627692935,0.9988508220694867,5.567648444531357e-15,success,
5mmol_30C,0.000701074,1997.359584,0.499814357,0.099779951,0.025514657,0.0056688745765767785,0.998639537828805,0.0,success,
5mmol_30C,0.000712062,2001.847182,0.500082703,0.099837001,0.025693544,0.005952274591151627,0.9986671042499796,0.0,success,
5mmol_30C,0.000699313,2002.089285,0.499927696,0.099486553,0.025077159,0.005694488768167067,0.9986276286907811,0.0,success,
5mmol_30C,0.00077305,1755.043053,0.500060052,0.099747351,0.026129478,0.004844929902672768,0.9992453112494719,0.0,success,
5mmol_30C,0.00077201,1755.380838,0.5000675,0.099877751,0.025281591,0.004862936116453322,0.9992336027764663,0.0,success,
5mmol_30C,0.000728669,1748.347032,0.500005921,0.099731051,0.024421463,0.005126647967096552,0.9989000283818417,5.5811685974078064e-15,success,
5mmol_30C,0.00077559,1481.64826,0.499812721,0.099747351,0.024078116,0.004304964318874549,0.9992665330416257,0.0,success,
5mmol_30C,0.000763925,1499.694809,0.500032728,0.099335778,0.024252689,0.004025286858908922,0.999267079656923,1.3013073718480198e-14,success,
5mmol_30C,0.000726548,1455.630583,0.496921484,0.099731051,0.023973169,0.004092910685005245,0.9989738280152236,6.703499958251111e-15,success,
5mmol_30C,0.000722229,999.6381778,0.499880084,0.099233904,0.017030178,0.0028694526731671104,0.9990670288761283,0.0,success,
5mmol_30C,0.000712445,999.6446793,0.499913583,0.099331703,0.01855081,0.002650847972870385,0.9990513439387686,0.0,success,
5mmol_30C,0.000712451,1001.908437,0.500022896,0.100896496,0.023203321,0.003077403372310727,0.9988801003963848,0.0,success,
5mmol_30C,0.000734213,999.528145,0.499657125,0.099331703,0.022879034,0.0030926912839803595,0.99908400131417,0.0,success,
5mmol_30C,0.000745642,998.9341649,0.499917071,0.098651182,0.021350563,0.0028790478447715123,0.9992177330207648,0.0,success,
5mmol_30C,0.000753615,1000.183129,0.500015227,0.101132844,0.019893559,0.0028599558281156693,0.9992156672379758,0.0,success,
5mmol_30C,0.000665051,993.5760686,0.399215879,0.098696007,0.01955034,0.002304252933138539,0.9978969086071625,9.820908394179434e-15,success,
5mmol_30C,0.000633721,996.2387882,0.399066862,0.100692747,0.019562686,0.0022787739089206623,0.9972960031876529,0.0,success,
5mmol_30C,0.000618759,996.5608034,0.399898313,0.098956805,0.021604255,0.0024408658793162747,0.9969656938073159,9.791494426710801e-15,success,
5mmol_30C,0.000620129,991.6847319,0.399288212,0.099209454,0.022378535,0.002425054595176478,0.9969804486682553,0.0,success,
5mmol_30C,0.000651134,994.0573675,0.399507565,0.099030155,0.023494684,0.0025410067214792463,0.9975034665359633,0.0,success,
5mmol_30C,0.000666888,981.9675893,0.398774242,0.099258354,0.021653975,0.002296567054350778,0.9978911916355357,9.937007757379696e-15,success,
5mmol_30C,0.000578923,998.3289379,0.299638591,0.100228199,0.016896813,0.0016878597357889097,0.994462080774198,9.774152768620794e-15,success,
5mmol_30C,0.000568444,1000.032227,0.299961589,0.100480848,0.019367125,0.0017350001371464906,0.9941401333033081,0.0,success,
5mmol_30C,0.000551839,1017.00453,0.304068314,0.100782396,0.019188991,0.0018155106207349528,0.9933785674649428,0.0,success,
5mmol_30C,0.000527851,1005.880826,0.300892819,0.101026895,0.01819381,0.0017501393753213816,0.9921985974574025,0.0,success,
5mmol_30C,0.000545092,988.7087167,0.297422013,0.098956805,0.020483014,0.001769462039701666,0.9931115728484575,0.0,success,
5mmol_30C,0.00055842,995.9549927,0.299342948,0.099421353,0.020471766,0.0018038355598518079,0.993617487804605,0.0,success,
5mmol_30C,0.000816628,1492.737848,0.500258137,0.101051345,0.026577285,0.004230743384326911,0.9994397722496844,0.0,success,
5mmol_30C,0.000824805,1503.418987,0.500185869,0.100594947,0.026404024,0.004100237256052621,0.9994941665496293,6.4904192621917045e-15,success,
5mmol_30C,0.00076001,1496.994971,0.500046369,0.100179299,0.024838368,0.004105329717920339,0.999209564889412,6.518271431367113e-15,success,
5mmol_30C,0.000743565,1505.564556,0.500495951,0.099070905,0.02549999,0.00436494572472747,0.9990921703434962,0.0,success,
5mmol_30C,0.000792247,1501.102268,0.500037642,0.099792176,0.026181453,0.004064162437158678,0.9993846927316893,0.0,success,
5mmol_30C,0.000859751,1494.673636,0.500000991,0.1000489,0.026915963,0.00410136135432437,0.9996083778191565,6.5283947728436025e-15,success,
5mmol_30C,0.000702358,1507.266277,0.400776022,0.100415648,0.020475186,0.0033595269597724714,0.9982263620590046,0.0,success,
5mmol_30C,0.000673997,1497.84715,0.399699582,0.099168704,0.021077842,0.0033855228470309703,0.9978843868623568,0.0,success,
5mmol_30C,0.000612475,1494.370199,0.399708235,0.100285249,0.020777276,0.0034921057934155834,0.9965941257427703,0.0,success,
5mmol_30C,0.000594114,1495.096084,0.399581026,0.100488998,0.020836259,0.003542176264673503,0.9960705236826799,0.0,success,
