exp,phi_0,dV_ges,eps_0,h_dis_0,h_c_0,lambda,rho_c,rho_d,eta_c,etc_d,sigma,T,r_S_star,h_p_star,D_A,L_A
10mmol_21C,0.0005706342000112,1013.3289938511329,0.5004104597675806,0.0324451484260839,0.1002474349072494,0.9888675005168,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
15mmol_30C,0.0003148752893119,750.4453315533981,0.5000305646279545,0.0248891844237171,0.1097274088385206,0.996817942233595,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
5mmol_30C,0.000773049790394,1755.0430533980582,0.500060052266506,0.0268797424836935,0.0910264387762927,0.99541208294273,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
15mmol_20C,0.0004132673799066,1251.8935572815535,0.3000824450508341,0.0310207143784416,0.1049973224979106,0.98212610662703,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
2mmol_21C,0.0007012741622249,1924.43022815534,0.4051928628207774,0.04440175,0.0968169296918767,0.993153507792615,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
15mmol_20C,0.0005262948212044,1004.8031040453074,0.5000378005996254,0.0380360221412013,0.1019388649980778,0.99130283826405,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
2mmol_21C,0.0006373718749577,1500.0514666666668,0.2999424985976734,0.0358459999999999,0.1085776496598639,0.9934907380988052,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
15mmol_30C,0.0003272770673782,750.0605118122977,0.499916718946949,0.0252662042493901,0.1103543878487563,0.996536433611935,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
5mmol_30C,0.0005621593437695,1999.149445307444,0.3999120622415775,0.0335947999999999,0.0887784420891726,0.996517043040455,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
10mmol_21C,0.0002761222668056,1249.9055754045307,0.3000566116831281,0.0371610404761904,0.1110067059710197,0.98415804846044,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_30C,0.0003544279807638,708.8722381877025,0.5028645217248477,0.0259918796545008,0.1085523041852844,0.99583100845718,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0068,0.2733,0.2,1.3
15mmol_20C,0.0004090284703598,1259.034652265372,0.4012671901713452,0.0319788091892955,0.1072793023460798,0.98588495016166,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
2mmol_21C,0.0006318123760649,1500.2585396440131,0.3000493519555831,0.0462224333333333,0.1120298641304347,0.99347530254037,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
15mmol_30C,0.0003391830958664,744.8778032362461,0.2981946384828475,0.0262363928765678,0.1039474347040922,0.992419659392555,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
